cdr_id,msisdn,service_type,usage_time,usage_amount
1,628124386694,voice,2025-07-22 23:57:00,368
2,628128697089,voice,2025-07-26 20:46:00,95
3,628129014346,voice,2025-07-25 04:19:00,413
4,628126414897,voice,2025-07-20 16:16:00,182
5,628127797739,sms,2025-07-25 17:40:00,1
6,628126999953,voice,2025-07-25 10:15:00,122
7,628127056333,voice,2025-07-21 00:13:00,118
8,628125568407,voice,2025-07-24 17:59:00,188
9,628128505689,voice,2025-07-21 02:59:00,293
10,628123523318,data,2025-07-22 11:42:00,8082
11,628122342249,data,2025-07-20 18:53:00,355
12,628124209533,data,2025-07-24 19:10:00,9129
13,628127056333,data,2025-07-24 03:57:00,2317
14,628124404105,data,2025-07-20 21:47:00,7301
15,628122530440,sms,2025-07-24 10:49:00,1
16,628122598761,data,2025-07-26 06:33:00,7035
17,628121890462,data,2025-07-25 02:57:00,7725
18,628128022352,data,2025-07-21 23:47:00,2487
19,628128238971,voice,2025-07-20 12:31:00,76
20,628125793408,voice,2025-07-25 18:43:00,249
21,628128373837,voice,2025-07-25 19:27:00,349
22,628123406093,sms,2025-07-22 02:45:00,1
23,628126881506,sms,2025-07-25 17:13:00,1
24,628128265507,data,2025-07-23 01:54:00,1856
25,628125740064,data,2025-07-25 09:48:00,9409
26,628129909486,data,2025-07-26 01:05:00,5089
27,628129275830,data,2025-07-25 23:06:00,761
28,628125793408,voice,2025-07-26 15:16:00,346
29,628128802589,data,2025-07-21 08:26:00,3296
30,628123520711,voice,2025-07-25 06:17:00,252
31,628127904382,data,2025-07-24 22:51:00,2669
32,628127284582,voice,2025-07-21 11:30:00,265
33,628126531362,data,2025-07-25 02:11:00,2121
34,628121589063,voice,2025-07-24 13:01:00,561
35,628126414897,sms,2025-07-26 01:47:00,1
36,628124431578,data,2025-07-23 23:36:00,9140
37,628126999953,sms,2025-07-25 23:20:00,1
38,628127261360,voice,2025-07-26 07:30:00,138
39,628125226050,voice,2025-07-26 20:32:00,412
40,628122291294,voice,2025-07-25 04:24:00,88
41,628122700314,sms,2025-07-21 18:49:00,1
42,628122598761,sms,2025-07-23 05:16:00,1
43,628128883465,sms,2025-07-25 23:22:00,1
44,628122592641,voice,2025-07-25 20:25:00,42
