alert_id,msisdn,service_type,alert_time,fraud_type
38,628127261360,voice,2025-07-26 07:30:00,Simbox Fraud
61,628129404565,data,2025-07-20 15:22:00,Data Usage Spike
62,628127687340,data,2025-07-21 10:42:00,Data Usage Spike
70,628126343932,data,2025-07-23 23:19:00,Data Usage Spike
79,628126788668,voice,2025-07-23 08:58:00,Simbox Fraud
82,628121231141,data,2025-07-25 14:55:00,Data Usage Spike
118,628122461875,sms,2025-07-20 20:13:00,SMS Flooding
139,628127261360,sms,2025-07-25 14:22:00,SMS Flooding
168,628122282682,voice,2025-07-23 13:30:00,Simbox Fraud
169,628121456310,sms,2025-07-21 17:52:00,SMS Flooding
184,628122425329,sms,2025-07-24 18:47:00,SMS Flooding
244,628128323825,voice,2025-07-23 09:49:00,Simbox Fraud
253,628122522268,sms,2025-07-20 23:09:00,SMS Flooding
388,628122900393,voice,2025-07-22 06:11:00,Simbox Fraud
436,628122416021,voice,2025-07-23 05:43:00,Simbox Fraud
464,628125877604,voice,2025-07-24 00:10:00,Simbox Fraud
518,628123884087,data,2025-07-21 12:39:00,Data Usage Spike
525,628128479416,data,2025-07-24 17:17:00,Data Usage Spike
551,628126700192,data,2025-07-20 22:09:00,Data Usage Spike
555,628127386749,sms,2025-07-22 17:04:00,SMS Flooding
559,628125548372,sms,2025-07-23 03:11:00,SMS Flooding
566,628122817762,sms,2025-07-20 19:27:00,SMS Flooding
584,628126414897,data,2025-07-24 16:53:00,Data Usage Spike
624,628125011111,data,2025-07-24 03:05:00,Data Usage Spike
661,628124779015,voice,2025-07-27 00:59:00,Simbox Fraud
687,628129555460,sms,2025-07-27 03:31:00,SMS Flooding
699,628127164404,sms,2025-07-27 06:28:00,SMS Flooding
708,628122067688,sms,2025-07-25 03:38:00,SMS Flooding
735,628127660914,voice,2025-07-27 00:40:00,Simbox Fraud
758,628126414897,voice,2025-07-21 09:29:00,Simbox Fraud
775,628122978943,voice,2025-07-21 01:43:00,Simbox Fraud
798,628126188918,voice,2025-07-21 16:32:00,Simbox Fraud
815,628126393762,data,2025-07-20 19:39:00,Data Usage Spike
835,628126835145,voice,2025-07-22 02:09:00,Simbox Fraud
845,628125579247,voice,2025-07-27 05:02:00,Simbox Fraud
